You are using the XLSTAT trial version. Number of days remaining until the trial expires: 14;;;;;;;;;;;
;;;;;;;;;;;
sss;;;;;;;;;;;
Observations/variables table: Workbook = GRAB.csv / Sheet = GRAB / Range = GRAB!$A$2:$A$526 / 524 rows and 1 column;;;;;;;;;;;
Cluster rows;;;;;;;;;;;
Dissimilarity: Euclidean distance;;;;;;;;;;;
Agglomeration method: Ward's method;;;;;;;;;;;
Center: No / Reduce: No;;;;;;;;;;;
Truncation: Hartigan index (adapted);;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Summary statistics:;;;;;;;;;;;
;;;;;;;;;;;
Variable;Observations;Obs. with missing data;Obs. without missing data;Minimum;Maximum;Mean;Std. deviation;;;;
01/12/2021;524;0;524;44532,000;45294,000;44912,824;220,179;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Node statistics:;;;;;;;;;;;
;;;;;;;;;;;
Node;Level;Weight;Objects;Left son;Right son;;;;;;
653;0,500;2;2;310;311;;;;;;
652;0,500;2;2;308;309;;;;;;
651;0,500;2;2;306;307;;;;;;
650;0,500;2;2;303;304;;;;;;
649;0,500;2;2;301;302;;;;;;
648;0,500;2;2;298;299;;;;;;
647;0,500;2;2;296;297;;;;;;
646;0,500;2;2;293;294;;;;;;
645;0,500;2;2;291;292;;;;;;
644;0,500;2;2;288;289;;;;;;
643;0,500;2;2;286;287;;;;;;
642;0,500;2;2;284;285;;;;;;
641;0,500;2;2;282;283;;;;;;
640;0,500;2;2;279;280;;;;;;
639;0,500;2;2;277;278;;;;;;
638;0,500;2;2;275;276;;;;;;
637;0,500;2;2;273;274;;;;;;
636;0,500;2;2;271;272;;;;;;
635;0,500;2;2;269;270;;;;;;
634;0,500;2;2;266;267;;;;;;
633;0,500;2;2;264;265;;;;;;
632;0,500;2;2;261;262;;;;;;
631;0,500;2;2;259;260;;;;;;
630;0,500;2;2;256;257;;;;;;
629;0,500;2;2;254;255;;;;;;
628;0,500;2;2;251;252;;;;;;
627;0,500;2;2;249;250;;;;;;
626;0,500;2;2;245;246;;;;;;
625;0,500;2;2;242;243;;;;;;
624;0,500;2;2;240;241;;;;;;
623;0,500;2;2;237;238;;;;;;
622;0,500;2;2;235;236;;;;;;
621;0,500;2;2;232;233;;;;;;
620;0,500;2;2;230;231;;;;;;
619;0,500;2;2;227;228;;;;;;
618;0,500;2;2;225;226;;;;;;
617;0,500;2;2;222;223;;;;;;
616;0,500;2;2;220;221;;;;;;
615;0,500;2;2;217;218;;;;;;
614;0,500;2;2;215;216;;;;;;
613;0,500;2;2;212;213;;;;;;
612;0,500;2;2;210;211;;;;;;
611;0,500;2;2;207;208;;;;;;
610;0,500;2;2;205;206;;;;;;
609;0,500;2;2;202;203;;;;;;
608;0,500;2;2;200;201;;;;;;
607;0,500;2;2;197;198;;;;;;
606;0,500;2;2;195;196;;;;;;
605;0,500;2;2;193;194;;;;;;
604;0,500;2;2;191;192;;;;;;
603;0,500;2;2;188;189;;;;;;
602;0,500;2;2;186;187;;;;;;
601;0,500;2;2;183;184;;;;;;
600;0,500;2;2;181;182;;;;;;
599;0,500;2;2;178;179;;;;;;
598;0,500;2;2;176;177;;;;;;
597;0,500;2;2;173;174;;;;;;
596;0,500;2;2;171;172;;;;;;
595;0,500;2;2;168;169;;;;;;
594;0,500;2;2;166;167;;;;;;
593;0,500;2;2;163;164;;;;;;
592;0,500;2;2;161;162;;;;;;
591;0,500;2;2;158;159;;;;;;
590;0,500;2;2;156;157;;;;;;
589;0,500;2;2;153;154;;;;;;
588;0,500;2;2;151;152;;;;;;
587;0,500;2;2;149;150;;;;;;
586;0,500;2;2;147;148;;;;;;
585;0,500;2;2;144;145;;;;;;
584;0,500;2;2;142;143;;;;;;
583;0,500;2;2;140;141;;;;;;
582;0,500;2;2;138;139;;;;;;
581;0,500;2;2;135;136;;;;;;
580;0,500;2;2;133;134;;;;;;
579;0,500;2;2;130;131;;;;;;
578;0,500;2;2;128;129;;;;;;
577;0,500;2;2;126;127;;;;;;
576;0,500;2;2;124;125;;;;;;
575;0,500;2;2;121;122;;;;;;
574;0,500;2;2;119;120;;;;;;
573;0,500;2;2;116;117;;;;;;
572;0,500;2;2;114;115;;;;;;
571;0,500;2;2;111;112;;;;;;
570;0,500;2;2;109;110;;;;;;
569;0,500;2;2;106;107;;;;;;
568;0,500;2;2;104;105;;;;;;
567;0,500;2;2;101;102;;;;;;
566;0,500;2;2;99;100;;;;;;
565;0,500;2;2;96;97;;;;;;
564;0,500;2;2;94;95;;;;;;
563;0,500;2;2;92;93;;;;;;
562;0,500;2;2;90;91;;;;;;
561;0,500;2;2;87;88;;;;;;
560;0,500;2;2;85;86;;;;;;
559;0,500;2;2;82;83;;;;;;
558;0,500;2;2;80;81;;;;;;
557;0,500;2;2;77;78;;;;;;
556;0,500;2;2;75;76;;;;;;
555;0,500;2;2;72;73;;;;;;
554;0,500;2;2;70;71;;;;;;
553;0,500;2;2;67;68;;;;;;
552;0,500;2;2;65;66;;;;;;
551;0,500;2;2;62;63;;;;;;
550;0,500;2;2;60;61;;;;;;
549;0,500;2;2;58;59;;;;;;
548;0,500;2;2;56;57;;;;;;
547;0,500;2;2;53;54;;;;;;
546;0,500;2;2;51;52;;;;;;
545;0,500;2;2;48;49;;;;;;
544;0,500;2;2;46;47;;;;;;
543;0,500;2;2;43;44;;;;;;
542;0,500;2;2;41;42;;;;;;
541;0,500;2;2;38;39;;;;;;
540;0,500;2;2;36;37;;;;;;
539;0,500;2;2;34;35;;;;;;
538;0,500;2;2;32;33;;;;;;
537;0,500;2;2;29;30;;;;;;
536;0,500;2;2;27;28;;;;;;
535;0,500;2;2;24;25;;;;;;
534;0,500;2;2;22;23;;;;;;
533;0,500;2;2;19;20;;;;;;
532;0,500;2;2;17;18;;;;;;
531;0,500;2;2;15;16;;;;;;
530;0,500;2;2;13;14;;;;;;
529;0,500;2;2;10;11;;;;;;
528;0,500;2;2;8;9;;;;;;
527;0,500;2;2;5;6;;;;;;
526;0,500;2;2;3;4;;;;;;
525;0,500;2;2;1;2;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;; ;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Evolution of indices:;;;;;;;;;;;
;;;;;;;;;;;
Number of clusters;2;3;4;5;;;;;;;
Silhouette index;0,520;0,529;0,571;0,546;;;;;;;
Hartigan index (H);909,308;685,509;167,695;153,824;;;;;;;
H(k-1) - H(k);-115,565;223,799;517,814;13,871;;;;;;;
Calinski & Harabasz index;793,743;1542,104;2607,288;2624,248;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Agglomerative hierarchical clustering (AHC) / Number of clusters = 4:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;; ;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
